Date,ADANIENT.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BERGEPAINT.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,DABUR.NS,HAVELLS.NS,HCLTECH.NS,HINDPETRO.NS,INDIGO.NS,JUBLFOOD.NS,MRF.NS,PEL.NS,SIEMENS.NS,TATASTEEL.NS,UBL.NS,^NSEI
2023-05-19,1955.0732421875,3058.7060546875,923.1079711914062,4350.11962890625,518.6546630859375,802.0657348632812,340.25103759765625,4499.85009765625,908.8787231445312,514.0206909179688,1252.38525390625,1067.4630126953125,249.17335510253906,2266.800048828125,467.52862548828125,96073.7578125,712.4110107421875,3714.0537109375,101.34236145019531,1408.3455810546875,18203.400390625
2023-05-22,2324.9384765625,3059.15234375,916.6146240234375,4388.98046875,519.442626953125,798.1835327148438,341.478759765625,4498.9501953125,917.5087280273438,517.139892578125,1256.5611572265625,1091.339111328125,248.34713745117188,2290.050048828125,468.4263610839844,95749.1171875,730.5794067382812,3391.803955078125,101.6812973022461,1394.0147705078125,18314.400390625
2023-05-23,2632.384765625,3094.554443359375,915.216064453125,4364.5771484375,522.7607421875,796.2922973632812,346.20050048828125,4521.64990234375,922.9148559570312,520.6055908203125,1242.640869140625,1079.1573486328125,256.0259704589844,2277.199951171875,472.81536865234375,95326.03125,744.4700317382812,3402.6787109375,102.26233673095703,1403.8671875,18348.0
2023-05-24,2474.36376953125,3075.61376953125,916.7644653320312,4383.498046875,526.32763671875,797.7356567382812,343.0841369628906,4519.7998046875,930.4537353515625,521.5463256835938,1266.1065673828125,1083.6402587890625,250.97157287597656,2269.0,472.6158447265625,95478.421875,739.7597045898438,3423.03125,101.8749771118164,1415.3118896484375,18285.400390625
2023-05-25,2536.182861328125,3097.479736328125,920.1110229492188,4506.14599609375,532.2172241210938,818.938232421875,343.0841369628906,4563.2998046875,937.8438110351562,524.9625854492188,1271.1279296875,1087.58740234375,250.87435913085938,2305.699951171875,487.927490234375,96563.6328125,739.711669921875,3479.150634765625,101.53604125976562,1435.1162109375,18321.150390625
2023-05-26,2543.07958984375,3102.2890625,926.0050659179688,4478.9287109375,536.779541015625,814.2099609375,344.0284729003906,4596.2001953125,943.6962890625,536.795654296875,1281.816650390625,1110.1966552734375,251.31173706054688,2323.35009765625,482.4412536621094,97716.125,741.4419555664062,3511.225830078125,103.03704833984375,1452.7808837890625,18499.349609375
2023-05-29,2532.78466796875,3111.214111328125,928.8521118164062,4481.40283203125,531.6780395507812,817.494873046875,341.57318115234375,4575.25,948.556884765625,542.9844360351562,1290.2186279296875,1097.5274658203125,250.48556518554688,2321.199951171875,481.1943664550781,97616.703125,745.3351440429688,3504.54150390625,105.02225494384766,1450.8402099609375,18598.650390625
2023-05-30,2495.203369140625,3118.155517578125,936.494384765625,4455.5927734375,538.231201171875,814.7077026367188,340.34552001953125,4573.25,952.1279296875,544.519287109375,1281.021240234375,1106.931884765625,249.70794677734375,2371.39990234375,486.73052978515625,96932.0546875,747.7384033203125,3551.432373046875,103.66651153564453,1443.0777587890625,18633.849609375
2023-05-31,2492.10498046875,3166.300537109375,913.9173583984375,4431.5771484375,539.5584716796875,846.013916015625,343.27301025390625,4657.0498046875,945.3826293945312,549.9655151367188,1300.509765625,1115.9464111328125,253.59596252441406,2372.5,482.09210205078125,97047.171875,741.3939208984375,3543.401123046875,102.45601654052734,1447.705322265625,18534.400390625
2023-06-01,2490.905517578125,3213.65185546875,918.762451171875,4505.7578125,539.599853515625,824.1642456054688,344.26458740234375,4635.25,956.988525390625,551.4508666992188,1324.3236083984375,1112.827880859375,252.9641571044922,2343.800048828125,490.2716369628906,97402.1640625,752.1603393554688,3526.091552734375,102.60127258300781,1456.06494140625,18487.75
