Date,ADANIENT.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BERGEPAINT.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,DABUR.NS,HAVELLS.NS,HCLTECH.NS,HINDPETRO.NS,INDIGO.NS,JUBLFOOD.NS,MRF.NS,PEL.NS,SIEMENS.NS,TATASTEEL.NS,UBL.NS
2020-07-02,157.948974609375,1646.2950439453125,422.12603759765625,2525.47412109375,404.8221435546875,551.492919921875,306.3523864746094,3277.20556640625,634.4022827148438,449.0729675292969,569.0554809570312,492.3864440917969,168.62591552734375,1001.8499755859375,342.98541259765625,65703.8515625,1279.2784423828125,1080.0645751953125,29.337139129638672,1033.96337890625
2020-07-03,159.74612426757812,1655.27587890625,427.36273193359375,2572.00390625,413.1910095214844,574.206298828125,307.8701171875,3280.218505859375,627.1373901367188,451.0041809082031,568.0760498046875,500.99365234375,169.17454528808594,1012.1500244140625,345.251220703125,65750.984375,1298.6051025390625,1133.9910888671875,28.899141311645508,1015.8932495117188
2020-07-06,163.93943786621094,1668.16162109375,432.8986511230469,2541.042236328125,415.44732666015625,569.4166870117188,311.7044982910156,3360.037109375,623.0140991210938,449.94207763671875,570.8671875,500.6044006347656,168.97862243652344,1026.75,345.1518249511719,66937.2421875,1300.629638671875,1146.9178466796875,29.687532424926758,1038.517578125
2020-07-07,167.8831787109375,1704.18310546875,446.2147521972656,2497.231201171875,417.2113342285156,560.08447265625,303.4366149902344,3410.09765625,624.9284057617188,462.109130859375,585.41064453125,512.1527709960938,165.49085998535156,1034.3499755859375,346.9804382324219,66465.2890625,1304.7711181640625,1157.18017578125,28.934175491333008,1028.1849365234375
2020-07-08,162.74136352539062,1646.099853515625,443.0228576660156,2501.879638671875,409.129638671875,554.3073120117188,302.0785827636719,3416.169677734375,622.8177490234375,456.9912109375,569.9857788085938,497.31732177734375,166.0003204345703,1040.75,336.3269958496094,64902.9375,1319.4039306640625,1141.194580078125,29.275814056396484,1040.7213134765625
2020-07-09,162.4917449951172,1676.3616943359375,452.5985107421875,2527.798095703125,413.8883972167969,561.5657958984375,300.9602355957031,3405.601318359375,627.3828735351562,456.79803466796875,575.3233032226562,508.8656311035156,160.94508361816406,1020.0499877929688,334.9853820800781,64951.296875,1331.137939453125,1129.4521484375,30.1780948638916,1048.1158447265625
2020-07-10,159.44659423828125,1662.93896484375,438.4844055175781,2538.93701171875,409.0476379394531,567.5404052734375,300.64068603515625,3454.78125,627.235595703125,457.86029052734375,568.27197265625,503.6753845214844,164.5111846923828,1016.75,322.1059265136719,64485.45703125,1333.3927001953125,1122.79150390625,29.670013427734375,1010.1637573242188
2020-07-13,155.80238342285156,1665.0380859375,438.9332580566406,2543.5859375,410.0321960449219,579.4896850585938,303.5165100097656,3519.813720703125,626.695556640625,467.854736328125,574.9805297851562,521.279052734375,165.21656799316406,1014.8499755859375,324.8984680175781,64292.80078125,1317.2872314453125,1128.514892578125,29.967851638793945,987.1965942382812
2020-07-14,149.5123748779297,1648.1986083984375,416.6400146484375,2543.147216796875,410.60650634765625,582.0078735351562,298.5637512207031,3462.75390625,620.7559814453125,462.9782409667969,568.27197265625,511.5473327636719,164.94224548339844,955.2999877929688,328.4065246582031,64016.984375,1279.41650390625,1115.834716796875,29.49043846130371,983.8665771484375
2020-07-15,147.51556396484375,1631.847412109375,425.5672607421875,2580.4677734375,418.7702331542969,556.5786743164062,295.2485656738281,3451.62939453125,626.54833984375,463.1713562011719,563.5220336914062,532.1787109375,158.8289031982422,952.25,342.011474609375,63300.5703125,1279.41650390625,1141.8360595703125,29.72257423400879,978.9205932617188
2020-07-16,148.66372680664062,1652.88427734375,432.8986511230469,2580.687255859375,416.308837890625,555.7392578125,314.6601867675781,3573.5361328125,662.1856689453125,470.896484375,561.6123046875,543.0350341796875,164.4328155517578,989.5999755859375,336.43634033203125,63163.9765625,1276.39501953125,1144.9443359375,29.928434371948242,956.981689453125
2020-07-17,151.3594512939453,1676.9962158203125,432.00091552734375,2626.91015625,425.41607666015625,559.689453125,354.52191162109375,3508.87451171875,676.51904296875,473.8899841308594,577.8696899414062,539.0559692382812,175.5621795654297,991.25,348.88848876953125,64975.85546875,1281.0433349609375,1143.6123046875,30.743112564086914,964.0335083007812
2020-07-20,160.4449920654297,1709.8936767578125,432.8986511230469,2633.5322265625,429.6825256347656,568.5773315429688,349.3295593261719,3692.10546875,662.038330078125,483.7396240234375,586.9776000976562,561.0713500976562,177.99183654785156,971.4500122070312,348.1928405761719,64659.98046875,1307.4461669921875,1164.4329833984375,30.87013053894043,964.8169555664062
2020-07-21,167.03453063964844,1683.195068359375,445.06768798828125,2635.0673828125,424.3904724121094,560.677001953125,370.81817626953125,3597.31494140625,650.2083129882812,474.75909423828125,567.0966186523438,564.3152465820312,183.59571838378906,964.1500244140625,346.7518310546875,65234.87890625,1448.8028564453125,1163.347412109375,31.461429595947266,964.2293701171875
2020-07-22,169.13119506835938,1655.37353515625,477.73455810546875,2618.489990234375,426.1955261230469,562.0595703125,359.95404052734375,3527.461669921875,649.6193237304688,464.5232238769531,572.5811157226562,562.412353515625,178.85398864746094,965.6500244140625,337.8475036621094,64028.66015625,1385.4456787109375,1159.3511962890625,30.66427230834961,969.4202270507812
2020-07-23,169.68032836914062,1688.15380859375,459.6805114746094,2659.45068359375,428.3697814941406,560.1337890625,365.50592041015625,3548.3671875,659.1912841796875,462.9782409667969,593.1475830078125,566.4905395507812,181.87144470214844,963.8499755859375,346.7021179199219,62984.44140625,1393.3013916015625,1151.6541748046875,30.82632827758789,981.7118530273438
2020-07-24,168.4822235107422,1672.7652587890625,444.4692077636719,2618.57763671875,430.0107116699219,552.4804077148438,358.1965637207031,3539.88427734375,653.8898315429688,455.3013610839844,594.1759643554688,590.0057373046875,179.01072692871094,948.25,343.025146484375,62605.83984375,1387.0726318359375,1145.7337646484375,30.318252563476562,977.794189453125
2020-07-27,165.68666076660156,1737.3485107421875,430.454833984375,2649.2763671875,435.7130126953125,552.5297241210938,365.625732421875,3501.78271484375,640.97998046875,450.3765563964844,582.9132690429688,608.358154296875,181.67550659179688,902.4000244140625,335.1941223144531,61567.0859375,1352.116943359375,1121.557861328125,30.909549713134766,961.9767456054688
2020-07-28,173.27459716796875,1719.2730712890625,435.9408874511719,2735.9775390625,428.3287353515625,557.566162109375,368.6612854003906,3499.3720703125,650.5029296875,458.7776184082031,564.0117797851562,618.2066040039062,182.57684326171875,914.2999877929688,337.04254150390625,61838.77734375,1365.82958984375,1127.725341796875,31.40448760986328,950.076904296875
2020-07-29,178.81581115722656,1700.22021484375,439.7810974121094,2718.391845703125,428.821044921875,559.1463012695312,362.5102844238281,3517.866943359375,668.8123779296875,472.7795104980469,558.6742553710938,602.5442504882812,178.9715576171875,909.75,334.6474914550781,61451.26953125,1323.4365234375,1133.5965576171875,32.74038314819336,941.1152954101562
2020-07-30,174.77223205566406,1703.346923828125,424.7693176269531,2674.229736328125,431.8977966308594,545.814453125,334.790771484375,3528.296142578125,673.4266357421875,475.00048828125,566.5580444335938,603.4552612304688,174.817626953125,938.5,351.85986328125,60683.86328125,1273.7919921875,1127.3304443359375,32.114044189453125,945.179931640625
2020-07-31,174.97190856933594,1676.135986328125,430.5545959472656,2635.63720703125,431.9798583984375,547.9376220703125,330.5569763183594,3544.65869140625,707.002197265625,495.90667724609375,571.1121826171875,611.91552734375,168.50836181640625,979.8499755859375,341.95184326171875,60689.23828125,1369.78076171875,1146.671142578125,32.087764739990234,932.0557861328125
2020-08-03,171.9766845703125,1666.3656005859375,416.2908935546875,2558.89111328125,430.8312072753906,540.5310668945312,333.7522888183594,3500.71630859375,697.4302978515625,492.9132080078125,572.6300659179688,612.5664672851562,170.58529663085938,953.7999877929688,345.5692443847656,60615.76171875,1358.0205078125,1134.435302734375,32.71848678588867,926.718017578125
2020-08-04,181.81103515625,1674.62158203125,428.0609436035156,2604.938720703125,431.2824401855469,542.1605834960938,326.3631286621094,3539.096435546875,700.817138671875,489.533447265625,576.1067504882812,601.0258178710938,168.50836181640625,984.0,359.0350341796875,60909.48046875,1362.9940185546875,1155.305419921875,32.60898208618164,920.8905029296875
2020-08-05,179.3150177001953,1676.9178466796875,433.8462219238281,2639.189453125,430.2568664550781,551.9866333007812,327.8808898925781,3569.086181640625,708.9656372070312,485.76739501953125,593.000732421875,597.337890625,166.90164184570312,969.4500122070312,369.9666442871094,61156.97265625,1332.0823974609375,1154.71337890625,34.671958923339844,936.7569580078125
